Steppingstone sampler:
        No Stones:                  100
        Start It:                   3500001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-7.682640	-7.682640
1	0.950747	7500	-7.597429	-15.280069
2	0.926679	7500	-7.486991	-22.767059
3	0.902980	7500	-7.304140	-30.071199
4	0.879648	7500	-7.167312	-37.238511
5	0.856682	7500	-7.043139	-44.281649
6	0.834079	7500	-7.000109	-51.281758
7	0.811838	7500	-6.899746	-58.181504
8	0.789957	7500	-6.764781	-64.946284
9	0.768433	7500	-6.696863	-71.643147
10	0.747266	7500	-6.607206	-78.250353
11	0.726452	7500	-6.386252	-84.636605
12	0.705989	7500	-6.369251	-91.005856
13	0.685877	7500	-6.178975	-97.184831
14	0.666112	7500	-6.216135	-103.400966
15	0.646693	7500	-6.134048	-109.535013
16	0.627618	7500	-6.024867	-115.559880
17	0.608884	7500	-5.913498	-121.473378
18	0.590490	7500	-5.651637	-127.125015
19	0.572433	7500	-5.551343	-132.676358
20	0.554712	7500	-5.524538	-138.200896
21	0.537324	7500	-5.428820	-143.629717
22	0.520268	7500	-5.504118	-149.133834
23	0.503540	7500	-5.353817	-154.487652
24	0.487139	7500	-5.274525	-159.762177
25	0.471063	7500	-5.157227	-164.919403
26	0.455310	7500	-5.087597	-170.007001
27	0.439877	7500	-4.947764	-174.954764
28	0.424762	7500	-4.845081	-179.799845
29	0.409963	7500	-4.778622	-184.578467
30	0.395478	7500	-4.683123	-189.261591
31	0.381305	7500	-4.590622	-193.852212
32	0.367440	7500	-4.471122	-198.323335
33	0.353883	7500	-4.391207	-202.714542
34	0.340630	7500	-4.296041	-207.010583
35	0.327680	7500	-4.200497	-211.211080
36	0.315030	7500	-4.108383	-215.319463
37	0.302677	7500	-4.016832	-219.336295
38	0.290619	7500	-3.913183	-223.249478
39	0.278855	7500	-3.826141	-227.075619
40	0.267381	7500	-3.733405	-230.809024
41	0.256195	7500	-3.644380	-234.453404
42	0.245294	7500	-3.545000	-237.998404
43	0.234677	7500	-3.460889	-241.459293
44	0.224340	7500	-3.368378	-244.827671
45	0.214281	7500	-3.277816	-248.105487
46	0.204498	7500	-3.199015	-251.304502
47	0.194988	7500	-3.104178	-254.408680
48	0.185749	7500	-3.026024	-257.434704
49	0.176777	7500	-2.936064	-260.370768
50	0.168070	7500	-2.850013	-263.220780
51	0.159626	7500	-2.781138	-266.001918
52	0.151441	7500	-2.693157	-268.695075
53	0.143514	7500	-2.626354	-271.321429
54	0.135841	7500	-2.530854	-273.852284
55	0.128420	7500	-2.456131	-276.308415
56	0.121247	7500	-2.396173	-278.704588
57	0.114320	7500	-2.326680	-281.031268
58	0.107637	7500	-2.209417	-283.240685
59	0.101193	7500	-2.168050	-285.408735
60	0.094986	7500	-2.091053	-287.499788
61	0.089014	7500	-2.005783	-289.505572
62	0.083273	7500	-1.961131	-291.466703
63	0.077760	7500	-1.856515	-293.323218
64	0.072472	7500	-1.777214	-295.100432
65	0.067406	7500	-1.756306	-296.856738
66	0.062558	7500	-1.656906	-298.513644
67	0.057926	7500	-1.595216	-300.108861
68	0.053506	7500	-1.534236	-301.643096
69	0.049295	7500	-1.465083	-303.108179
70	0.045289	7500	-1.412448	-304.520627
71	0.041485	7500	-1.351712	-305.872339
72	0.037880	7500	-1.273305	-307.145644
73	0.034469	7500	-1.226780	-308.372424
74	0.031250	7500	-1.177814	-309.550238
75	0.028218	7500	-1.107752	-310.657990
76	0.025370	7500	-1.026959	-311.684949
77	0.022702	7500	-0.983513	-312.668462
78	0.020209	7500	-0.935608	-313.604070
79	0.017889	7500	-0.895644	-314.499713
80	0.015736	7500	-0.840281	-315.339995
81	0.013746	7500	-0.774932	-316.114926
82	0.011916	7500	-0.722393	-316.837320
83	0.010240	7500	-0.676319	-317.513639
84	0.008714	7500	-0.627189	-318.140827
85	0.007334	7500	-0.573963	-318.714790
86	0.006093	7500	-0.539653	-319.254444
87	0.004988	7500	-0.477339	-319.731783
88	0.004013	7500	-0.435455	-320.167238
89	0.003162	7500	-0.379090	-320.546328
90	0.002430	7500	-0.336520	-320.882847
91	0.001810	7500	-0.306280	-321.189127
92	0.001296	7500	-0.276806	-321.465933
93	0.000882	7500	-0.213859	-321.679792
94	0.000559	7500	-0.168888	-321.848680
95	0.000320	7500	-0.119641	-321.968322
96	0.000156	7500	-0.083874	-322.052196
97	0.000057	7500	-0.058495	-322.110691
98	0.000010	7500	-0.025993	-322.136685
99	0.000000	7500	-0.005361	-322.142046
Log marginal likelihood:	-322.142046
